Pos,球員,排名,勝率,直板勝率,橫板勝率,右手勝率,左手勝率,男子勝率,女子勝率,穩定率,爆發率,平面勝率,短顆勝率,中顆勝率,長顆勝率,NT勝率
1,葉柏旻,1,66.67,100.00,62.50,75.00,0.00,66.67,-,66.67,-,50.00,0.00,-,-,-
2,黃建都,2,100.00,-,100.00,100.00,100.00,100.00,100.00,-,-,100.00,100.00,-,100.00,-
3,林晉霆,3,100.00,-,100.00,100.00,-,100.00,100.00,100.00,-,100.00,-,-,-,100.00
4,洪敬愷,4,100.00,-,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,-,-
5,王志耿,5,88.00,85.71,88.37,90.00,80.00,87.50,100.00,91.30,50.00,55.56,66.67,100.00,-,0.00
6,葉旗山,6,85.71,-,85.71,85.71,-,83.33,100.00,85.71,-,100.00,100.00,-,-,-
7,劉士銘,7,79.10,72.73,81.25,81.03,71.43,79.03,100.00,94.44,60.71,100.00,100.00,-,-,-
8,趙偉伯,8,80.95,100.00,80.00,88.24,50.00,78.95,100.00,75.00,75.00,75.00,100.00,-,-,-
9,黎彥君,9,96.55,100.00,95.83,95.45,100.00,95.83,100.00,96.43,-,87.50,100.00,-,100.00,-
10,金子恆,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,賴俊穎,11,90.91,-,90.91,90.00,100.00,88.89,100.00,95.00,100.00,81.82,100.00,-,100.00,100.00
12,簡詩耘,12,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,100.00,-
13,黃兆銨,13,83.33,100.00,81.82,77.78,100.00,83.33,-,83.33,-,50.00,100.00,-,100.00,-
14,任家良,14,93.65,100.00,93.22,96.30,77.78,92.98,100.00,100.00,92.16,73.33,100.00,100.00,100.00,-
15,黎彥廷,15,75.00,100.00,71.43,73.33,100.00,75.00,-,80.00,-,70.00,-,-,100.00,-
16,許哲綸,16,70.59,100.00,66.67,78.57,33.33,66.67,100.00,100.00,83.33,44.44,-,-,100.00,-
17,陳聖武,17,94.12,100.00,93.75,93.75,100.00,92.86,100.00,94.12,100.00,87.50,-,-,-,-
18,夏宇,18,100.00,-,100.00,100.00,100.00,100.00,-,100.00,100.00,100.00,-,100.00,-,-
19,羅凱,19,85.71,-,85.71,85.71,-,85.71,-,-,-,83.33,100.00,-,-,-
20,林鈺宭,20,50.00,-,50.00,66.67,0.00,50.00,-,50.00,-,33.33,-,-,100.00,-
21,許价印,21,81.25,100.00,78.57,92.86,0.00,83.33,75.00,78.57,100.00,75.00,-,-,100.00,-
22,許安柏,22,87.18,88.89,89.29,85.29,100.00,87.88,83.33,93.10,66.67,85.71,100.00,-,-,-
23,張秉恩,23,87.50,-,87.50,87.50,-,87.50,-,100.00,0.00,80.00,100.00,-,-,-
24,曾瑞超,24,92.63,88.00,93.04,93.04,88.89,92.59,91.30,95.80,84.21,66.67,100.00,100.00,100.00,-
25,莊若榛,25,50.00,-,50.00,100.00,33.33,50.00,-,50.00,-,50.00,-,-,-,-
26,張睿煬,26,75.00,-,75.00,71.43,100.00,75.00,-,75.00,0.00,75.00,-,-,-,-
